Sum of active_region,Year,Quarter,Month,Day,class_type,Year,Quarter,Month,Day,Sum of day,Year,Quarter,Month,Day,event_id,event_type,Sum of hour,instruments,Sum of month,note,Year,Quarter,Month,Day,source_location,Sum of year
13379,2023,Qtr 3,July,18,M1.5,2023,Qtr 3,July,18,18,2023,Qtr 3,July,18,2023-07-18T06:45:00-Flr-001,Solar Flare,6,GOES-P: EXIS 1.0-8.0,7,"At The Time Of This Flare The Active Region Was On Or Just Beyond The Eastern Limb And Was Unnumbered. This Entry Has Been Updated To Include Newly Numbered Active Region 13379, Which Was Most Likely The Region Responsible For This Flare.",2023,Qtr 3,July,18,N12E90,2023
13363,2023,Qtr 3,July,18,M2.7,2023,Qtr 3,July,17,17,2023,Qtr 3,July,18,2023-07-17T22:41:00-Flr-001,Solar Flare,22,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,18,S25W72,2023
13363,2023,Qtr 3,July,18,M5.0,2023,Qtr 3,July,17,17,2023,Qtr 3,July,18,2023-07-17T23:18:00-Flr-001,Solar Flare,23,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,18,S25W72,2023
13363,2023,Qtr 3,July,18,M5.7,2023,Qtr 3,July,17,17,2023,Qtr 3,July,18,2023-07-17T23:37:00-Flr-001,Solar Flare,23,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,18,S25W72,2023
13376,2023,Qtr 3,July,19,M1.3,2023,Qtr 3,July,18,18,2023,Qtr 3,July,19,2023-07-18T19:32:00-Flr-001,Solar Flare,19,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,19,N27E35,2023
13376,2023,Qtr 3,July,19,M1.4,2023,Qtr 3,July,18,18,2023,Qtr 3,July,19,2023-07-18T20:00:00-Flr-001,Solar Flare,20,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,19,N27E31,2023
13363,2023,Qtr 3,July,19,M1.4,2023,Qtr 3,July,19,19,2023,Qtr 3,July,19,2023-07-19T10:49:00-Flr-001,Solar Flare,10,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,19,S25W90,2023
13363,2023,Qtr 3,July,19,M2.1,2023,Qtr 3,July,18,18,2023,Qtr 3,July,19,2023-07-18T20:16:00-Flr-001,Solar Flare,20,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,19,S21W87,2023
13363,2023,Qtr 3,July,19,M3.8,2023,Qtr 3,July,19,19,2023,Qtr 3,July,19,2023-07-19T17:04:00-Flr-001,Solar Flare,17,GOES-P: EXIS 1.0-8.0,7,Active Region 13363 Has Rotated Off The Earth-Facing Disk So The Longitude Is Likely Higher Than 90 Degrees.,2023,Qtr 3,July,19,S19W90,2023
13373,2023,Qtr 3,July,22,M1.0,2023,Qtr 3,July,22,22,2023,Qtr 3,July,22,2023-07-22T04:12:00-Flr-001,Solar Flare,4,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,22,N07W29,2023
13372,2023,Qtr 3,July,22,M3.1,2023,Qtr 3,July,22,22,2023,Qtr 3,July,22,2023-07-22T03:12:00-Flr-001,Solar Flare,3,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,22,N25W50,2023
13376,2023,Qtr 3,July,23,C5.2,2023,Qtr 3,July,23,23,2023,Qtr 3,July,23,2023-07-23T14:47:00-Flr-001,Solar Flare,14,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,23,N28W25,2023
13376,2023,Qtr 3,July,25,M1.5,2023,Qtr 3,July,25,25,2023,Qtr 3,July,25,2023-07-25T01:36:00-Flr-001,Solar Flare,1,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,25,N25W52,2023
13376,2023,Qtr 3,July,26,M1.1,2023,Qtr 3,July,26,26,2023,Qtr 3,July,26,2023-07-26T16:10:00-Flr-001,Solar Flare,16,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,26,N23W77,2023
13376,2023,Qtr 3,July,26,M1.2,2023,Qtr 3,July,26,26,2023,Qtr 3,July,26,2023-07-26T04:21:00-Flr-001,Solar Flare,4,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,26,N23W68,2023
13380,2023,Qtr 3,July,26,M1.6,2023,Qtr 3,July,25,25,2023,Qtr 3,July,26,2023-07-25T21:08:00-Flr-001,Solar Flare,21,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,26,S11E41,2023
13376,2023,Qtr 3,July,26,M2.0,2023,Qtr 3,July,26,26,2023,Qtr 3,July,26,2023-07-26T15:50:00-Flr-001,Solar Flare,15,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,26,N23W77,2023
13376,2023,Qtr 3,July,26,M4.6,2023,Qtr 3,July,26,26,2023,Qtr 3,July,26,2023-07-26T10:17:00-Flr-001,Solar Flare,10,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,26,N23W74,2023
13376,2023,Qtr 3,July,27,M1.9,2023,Qtr 3,July,27,27,2023,Qtr 3,July,27,2023-07-27T09:44:00-Flr-001,Solar Flare,9,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,27,N23W90,2023
13388,2023,Qtr 3,July,28,M1.7,2023,Qtr 3,July,27,27,2023,Qtr 3,July,28,2023-07-27T22:04:00-Flr-001,Solar Flare,22,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,28,S25E75,2023
